BRUNEI,526,761,907,6 40,7 10,557,6 82,554,770,523,7 48,833,"8,211"
CAMBODIA,301,261,272,3 54,2 94,348,2 86,265,281,228,3 88,248,"3,526"
INDONESIA,"4,590","4,234","4,026","4 ,075","4 ,585","4,206","3 ,305","2,400","2,584","3,057","3 ,589","3,697","44,348"
LAOS,102,114,78,1 27,1 04,114,8 0,71,82,87,1 53,61,"1,173"
MALAYSIA,"11,068","12,922","12,611","1 2,234","1 2,076","11,386","1 2,022","10,810","10,533","10,571","1 1,844","11,056","139,133"
MYANMAR,597,437,614,6 94,5 54,820,5 95,584,589,600,7 48,610,"7,442"
SINGAPORE,"13,404","14,972","16,065","1 6,592","1 4,723","16,324","1 4,153","14,008","13,190","12,914","1 4,849","14,863","176,057"
THAILAND,"4,035","3,744","4,071","4 ,805","4 ,048","4,072","3 ,985","3,788","3,831","3,819","4 ,174","3,541","47,913"
VIETNAM,"2,564","3,053","2,588","2 ,921","3 ,102","3,653","3 ,040","2,743","2,486","2,528","2 ,877","2,340","33,895"
CHINA,"48,708","82,208","53,596","5 4,011","4 6,825","55,610","8 1,843","61,766","53,015","44,542","4 8,203","45,336","675,663"
HONGKONG,"8,132","12,643","11,974","9 ,125","9 ,355","10,289","1 0,672","9,142","8,504","8,977","8 ,482","9,033","116,328"
JAPAN,"41,691","50,840","51,093","3 9,996","3 9,422","37,614","4 4,434","62,054","43,525","38,086","4 2,506","43,977","535,238"
KOREA,"147,165","137,598","98,781","9 8,052","9 4,736","109,786","1 42,793","147,588","115,147","112,508","1 27,547","143,380","1,475,081"
MACAU,700,942,752,7 71,7 01,834,8 38,764,717,829,6 31,768,"9,247"
TAIWAN,"15,523","19,821","16,758","1 9,554","1 8,136","22,333","2 3,894","21,498","20,773","18,327","1 6,905","15,781","229,303"
BANGLADESH,407,345,460,3 42,3 70,327,4 23,336,399,397,3 72,338,"4,516"
INDIA,"8,954","6,224","6,943","7 ,457","7 ,245","7,471","9 ,202","6,595","6,673","7,089","9 ,516","7,447","90,816"
IRAN,179,151,368,2 58,2 10,405,1 67,212,161,175,2 50,184,"2,720"
NEPAL,282,188,298,3 34,3 20,333,3 93,280,248,222,3 05,246,"3,449"
