BRUNEI,540,353,109,-,,1,4,5,-,12,12,1,-,"1 ,037"
CAMBODIA,421,390,119,3,,-,-,-,1,3,1,2,2,942
INDONESIA,"5,987","4,631","2,669",8,,-,3,1 6,50,61,64,120,125,"1 3,734"
LAOS,88,85,17,1,,-,1,3,1,-,-,2,5,203
MALAYSIA,"10,385","8,860","3,593",11,,3,1,2 6,66,56,90,170,98,"2 3,359"
MYANMAR,"1,327",889,563,2,,1,-,1,10,10,11,34,29,"2 ,877"
SINGAPORE,"9,182","7,349","3,259",4,,2,9,3 0,21,23,34,35,50,"1 9,998"
THAILAND,"3,951","3,919","1,444",27,,5,5,3 3,86,61,72,88,97,"9 ,788"
VIETNAM,"4,896","4,935","1,508",1,,2,2,2,10,3,20,18,9,"1 1,406"
ARGENTINA,711,426,223,,3,-,2,-,11,11,12,13,20,"1 ,432"
BRAZIL,"1,109",940,439,,7,1,3,3,22,62,44,56,64,"2 ,750"
COLOMBIA,334,234,93,,2,-,-,2,11,9,10,14,13,722
PERU,160,123,49,,1,-,-,2,4,1,4,2,4,350
VENEZUELA,80,41,26,-,,-,-,1,4,10,5,11,7,185
ANDORRA,5,-,3,-,,-,-,-,-,-,-,-,-,8
AUSTRIA,"1,682","1,609",474,-,,2,-,8,11,16,16,21,36,"3 ,875"
BELGIUM,"1,634","1,308",542,5,,-,18,2 4,21,37,44,52,71,"3 ,756"
FRANCE,"9,405","10,457","4,068",15,,2,20,3 2,95,85,119,81,151,"2 4,530"
GERMANY,"10,272","10,504","4,248",27,,3 6,21,9 6,71,101,144,144,229,"2 5,893"
LUXEMBOURG,77,55,15,-,,-,-,-,-,-,3,2,4,156
NETHERLANDS,"4,078","3,064","1,289",4,,6,21,5 1,65,68,105,94,116,"8 ,961"
SWITZERLAND,"3,103","2,790",941,3,,2,3,1 7,27,26,40,55,87,"7 ,094"
COMMONWEALTH OF,,,,,,,,,,,,,,
INDEPENDENT STATES,"1,776","1,069",482,16,-,,5,4 1,282,247,190,251,285,"4 ,644"
RUSSIAN FEDERATION,"6,184","4,485","1,469",6,,1,1,1 1,83,88,74,127,114,"1 2,643"
TOTAL (CIS & RUSSIA),"7,960","5,554","1,951",22,,1,6,52,365,335,264,378,399,"17,287"
POLAND,"2,493","1,987",723,2,,1,1,8,22,37,46,40,69,"5 ,429"
AUSTRALIA,"28,884","19,204","6,553",,8,4,9,4 3,69,102,122,163,169,"5 5,330"
GUAM,"1,351","1,041",383,-,,-,2,9,3,5,30,12,46,"2 ,882"
NAURU,2,-,1,-,,-,-,1,-,-,-,1,-,5
NEW ZEALAND,"3,854","2,122",768,,3,2,5,1 1,14,24,23,30,27,"6 ,883"
PAPUA NEW GUINEA,792,339,198,,2,-,10,8,24,11,4,19,27,"1 ,434"
NIGERIA,416,379,209,1,-,-,,1,7,2,8,10,9,"1 ,042"
SOUTH AFRICA,"1,106",466,260,12,5,,2,1 5,63,44,65,56,65,"2 ,159"
