BRUNEI,5,5,1,-,1,4,-,2,8,4,4,3,3 7,0.02,"1 ,037",-96.43
CAMBODIA,3,3,1,-,2,1,2,4,4,8,4,8,4 0,0.02,9 42,-95.75
INDONESIA,8 5,99,1 41,3 9,114,144,94,28,6 3,273,328,4 80,"1 ,888",1.15,"1 3,734",-86.25
LAOS,1,1,1,1,1,2,1,-,2,1,4,-,1 5,0.01,2 03,-92.61
MALAYSIA,8 8,97,1 26,5 3,84,95,103,85,1 45,169,266,3 09,"1 ,620",0.99,"2 3,359",-93.06
MYANMAR,2,7,1 1,1 4,9,14,28,16,6,33,32,9 9,2 71,0.17,"2 ,877",-90.58
SINGAPORE,9,43,4 3,2 2,34,47,52,54,6 2,74,105,1 08,6 53,0.40,"1 9,998",-96.73
THAILAND,8 7,107,8 1,6 8,101,119,134,115,1 50,119,184,1 99,"1 ,464",0.89,"9 ,788",-85.04
VIETNAM,5,20,2 3,9,7,29,69,69,4 3,601,363,5 47,"1 ,785",1.09,"1 1,406",-84.35
CHINA,2 96,695,8 75,1 34,851,"1,004","1,014",953,8 55,"1,004",915,"1 ,078","9 ,674",5.90,"1 70,432",-94.32
HONGKONG,1 0,30,1 9,1 0,22,31,30,22,3 5,34,50,6 1,3 54,0.22,"1 2,444",-97.16
JAPAN,7 20,"1,339","1 ,173",8 24,"1,306","1,103","1,155","1,383","1 ,489","1,462","1,483","1 ,587","1 5,024",9.17,"1 36,664",-89.01
KOREA,7 4,571,4 07,1 29,466,426,525,656,6 63,730,827,9 82,"6 ,456",3.94,"3 38,877",-98.09
MACAU,1,2,2,-,1,1,2,1,6,1,2,8,2 7,0.02,7 89,-96.58
TAIWAN,9 1,135,1 32,2 1,85,70,131,155,1 69,158,228,2 44,"1 ,619",0.99,"4 8,644",-96.67
BANGLADESH,1 7,8,5 0,1 2,4,3,7,8,2 5,70,46,7 3,3 23,0.20,"1 ,217",-73.46
INDIA,2 77,377,7 41,2 31,210,245,249,355,"1 ,541",704,"1,010","1 ,262","7 ,202",4.39,"2 9,014",-75.18
IRAN,1 5,10,8,6,8,7,15,16,1 3,27,26,2 1,1 72,0.10,4 11,-58.15
NEPAL,1 4,26,2 0,4,6,3,5,5,1 1,30,26,2 8,1 78,0.11,9 40,-81.06
PAKISTAN,6 2,60,5 5,1 9,33,16,29,34,7 0,70,59,7 7,5 84,0.36,"1 ,340",-56.42
SRI LANKA,1 6,22,1 8,1 8,13,17,19,28,2 9,33,52,3 6,3 01,0.18,"1 ,117",-73.05
BAHRAIN,1 30,106,1 44,1 49,178,165,172,183,1 58,159,135,1 85,"1 ,864",1.14,"1 ,094",70.38
