BY NATIONALITY,"TotalFebruary 2022","TotalMarch 2022","TotalApril 2022","TotalMay 2022","TotalJune 2022","TotalJuly 2022","TotalAugust 2022","TotalSeptember 2022","TotalOctober 2022","TotalNovember 2022","TotalDecember 2022","TotalFeb. to Dec. 2022",% Share
GRAND TOTAL,"47,715","117,150","188,574","206,393","254,309","295,650","263,529","246,898","274,803","324,610","434,227","2,653,858",100.00%
TOTAL OVERSEAS FILIPINOS *,"21,409**",47511**,73059**,81459**,100806**,"63,333","45,478","39,674","47,126","48,709","59,881","628,445",23.68%
TOTAL FOREIGN TOURIST,"26,306","69,639","115,515","124,934","153,503","232,317","218,051","207,224","227,677","275,901","374,346","2,025,413",76.32%
AMERICAN,"1,779","26,045","36,188","40,657","48,797","55,054","44,491","45,701","53,866","58,926","93,585","505,089",19.03%
SOUTH KOREAN,"10,176","4,829","10,206","15,624","25,111","55,054","55,573","43,695","49,065","64,882","93,799","428,014",16.13%
AUSTRALIAN,"2,469","4,432","9,937","8,869","10,074","13,312","11,928","14,596","14,746","16,380","31,231","137,974",5.20%
CANADIAN,"1,587","5,343","8,851","9,200","7,702","11,623","10,592","12,197","14,381","17,416","22,521","121,413",4.57%
BRITISH,"1,952","5,426","7,491","7,202","7,205","13,576","10,588","8,349","10,463","11,510","17,272","101,034",3.81%
JAPANESE,824,"2,310","5,838","5,203","6,775","11,596","13,860","11,786","11,509","14,144","15,712","99,557",3.75%
SINGAPOREAN,-,"1,354","2,758","3,640","4,682","5,423","5,835","6,621","6,122","8,928","8,085","53,448",2.01%
INDIAN,487,-,"1,800","2,739","4,332","8,013","7,977","8,103","5,755","6,641","5,695","51,542",1.94%
MALAYSIAN,"1,193","1,142","2,243","2,693","3,597","5,051","5,580","5,902","5,616","6,781","7,007","46,805",1.76%
CHINESE,365,-,"1,834","2,245","3,170","4,596","5,015","5,376","4,658","6,131","6,237","39,627",1.49%
GERMAN,291,"2,404","3,066","2,686","2,548","3,720","3,893","3,462","4,454","5,686","6,803","39,013",1.47%
VIETNAMESE,412,"2,889","3,457","3,046","3,118","4,499","4,494","4,401","4,032","4,332","3,925","38,605",1.45%
INDONESIAN,232,909,"1,403","1,316","1,597","2,365","3,827","3,972","3,022","3,070","2,883","24,596",0.93%
FRENCH,-,"1,328","2,035","1,593","1,314","2,719","2,462","1,752","2,880","3,709","4,157","23,949",0.90%
TAIWANESE,-,-,898,831,"1,199","2,264","2,853","2,332","3,101","4,030","6,096","23,604",0.89%
DUTCH,365,972,"1,388","1,376","1,262","2,651","1,765","1,637","2,092","2,719","3,079","19,306",0.73%
SPANISH,870,672,"1,230","1,061","1,176","2,280","2,809","1,632","1,948","2,824","2,692","19,194",0.72%
NEW ZEALANDER,180,430,904,988,"1,250","1,768","1,569","1,834","1,984","2,264","4,332","17,503",0.66%
THAI,190,397,733,886,"1,340","2,010","2,035","1,876","2,383","2,404","2,046","16,300",0.61%
ITALIAN,173,536,862,799,948,"1,450","1,455","1,046","1,252","1,792","2,620","12,933",0.49%
IRISH,116,754,874,816,"1,558","1,531",995,905,"1,021","1,188","2,251","12,009",0.45%
NORWEGIAN,257,580,737,608,"1,944","1,979",804,811,"1,029","1,177","2,078","12,004",0.45%
SWISS,167,608,"1,070",782,594,"1,489",708,886,"1,256","1,431","2,101","11,092",0.42%
SAUDI ARABIAN,-,394,226,747,843,"1,762","1,388","1,321","1,385","1,636",712,"10,414",0.39%
ISRAELI,76,462,"1,093",696,517,762,719,"1,618","1,127","1,134","1,507","9,711",0.37%
SWEDISH,220,463,646,485,"1,045",833,537,649,904,"1,338","2,269","9,389",0.35%
BELGIAN,168,472,567,595,717,"1,574",823,806,918,"1,095","1,226","8,961",0.34%
HONG KONGER,129,-,219,241,334,426,470,680,"1,199","1,898","2,993","8,589",0.32%
RUSSIAN,130,243,291,240,242,332,450,653,"1,426","2,220","1,813","8,040",0.30%
AUSTRIAN,204,476,681,526,502,943,682,690,807,"1,097","1,408","8,016",0.30%
DANISH,185,398,594,497,682,776,591,606,902,"1,028","1,103","7,362",0.28%
TURKISH,90,228,381,285,312,588,700,786,862,"1,029",598,"5,859",0.22%
BURMESE,-,313,303,401,482,581,540,388,446,411,390,"4,255",0.16%
POLISH,52,256,323,263,179,280,330,341,461,"1,081",656,"4,222",0.16%
SOUTH AFRICAN,98,151,214,167,218,356,333,292,435,401,642,"3,307",0.12%
BRAZILIAN,62,98,164,171,160,259,321,337,386,502,550,"3,010",0.11%
GUAMANIAN,48,-,131,187,244,390,297,384,411,570,213,"2,875",0.11%
FINNISH,29,138,177,184,256,229,176,230,300,421,541,"2,681",0.10%
ROMANIAN,60,116,193,138,147,174,216,248,285,415,664,"2,656",0.10%
PORTUGUESE,-,98,221,134,131,240,221,216,274,529,431,"2,495",0.09%
