COUNTRY OF RESIDENCE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,JAN-DEC,YEAR
USA,76896.0,65330.0,71831.0,69520.0,67199.0,65173.0,65218.0,50050.0,46291.0,59150.0,55451.0,87108.0,779217.0,2015
JAPAN,38190.0,45299.0,46885.0,37228.0,37102.0,32560.0,41620.0,55997.0,45934.0,36332.0,35612.0,42903.0,495662.0,2015
CHINA,21164.0,41812.0,30067.0,33250.0,31537.0,32495.0,66689.0,65403.0,51378.0,42073.0,37329.0,37644.0,490841.0,2015
AUSTRALIA,23281.0,17625.0,21993.0,20674.0,18750.0,16797.0,18122.0,15855.0,17609.0,18265.0,19448.0,32768.0,241187.0,2015
OVERSEAS FILIPINOS,16263.0,12528.0,24953.0,19812.0,17806.0,15725.0,22132.0,14753.0,10433.0,14918.0,12393.0,30147.0,211863.0,2015
SINGAPORE,12995.0,14279.0,16942.0,15816.0,17363.0,15422.0,14585.0,14515.0,14122.0,14366.0,14928.0,15843.0,181176.0,2015
TAIWAN,11804.0,15198.0,14711.0,13859.0,13790.0,16038.0,18833.0,16397.0,14564.0,15337.0,13399.0,13740.0,177670.0,2015
CANADA,17922.0,13146.0,15688.0,13990.0,13152.0,8255.0,11250.0,8890.0,7559.0,11051.0,12196.0,23264.0,156363.0,2015
MALAYSIA,12256.0,11188.0,13892.0,13089.0,14690.0,12851.0,12981.0,13048.0,13189.0,11936.0,13544.0,13150.0,155814.0,2015
UNITED KINGDOM,11967.0,11374.0,16730.0,14045.0,12294.0,9614.0,15215.0,12338.0,8783.0,11054.0,11869.0,19306.0,154589.0,2015
HONG KONG,7858.0,13171.0,10483.0,12031.0,10586.0,8656.0,10661.0,10202.0,10160.0,10267.0,8574.0,9531.0,122180.0,2015
GERMANY,7848.0,7396.0,8576.0,5665.0,5135.0,3835.0,4853.0,5689.0,4208.0,5549.0,6936.0,9658.0,75348.0,2015
INDIA,6221.0,5244.0,6415.0,6335.0,7030.0,5848.0,5565.0,5837.0,6070.0,6590.0,7108.0,6561.0,74824.0,2015
