COUNTRY OF RESIDENCE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AGUST,SETEMBER,OCTOBER,NOVEMBER,DESEMBER,JAN-DEC,YEAR
TOTAL OVERSEAS FILIPINOS *,0.0,21409.0,47511.0,73059.0,81459.0,100806.0,63333.0,45478.0,39674.0,47126.0,48709.0,59881.0,628445.0,2022
AMERICAN,0.0,1779.0,26045.0,36188.0,40657.0,48797.0,55054.0,44491.0,45701.0,53866.0,58926.0,93585.0,505089.0,2022
SOUTH KOREAN,0.0,10176.0,4829.0,10206.0,15624.0,25111.0,55054.0,55573.0,43695.0,49065.0,64882.0,93799.0,428014.0,2022
AUSTRALIAN,0.0,2469.0,4432.0,9937.0,8869.0,10074.0,13312.0,11928.0,14596.0,14746.0,16380.0,31231.0,137974.0,2022
CANADIAN,0.0,1587.0,5343.0,8851.0,9200.0,7702.0,11623.0,10592.0,12197.0,14381.0,17416.0,22521.0,121413.0,2022
BRITISH,0.0,1952.0,5426.0,7491.0,7202.0,7205.0,13576.0,10588.0,8349.0,10463.0,11510.0,17272.0,101034.0,2022
JAPANESE,0.0,824.0,2310.0,5838.0,5203.0,6775.0,11596.0,13860.0,11786.0,11509.0,14144.0,15712.0,99557.0,2022
SINGAPOREAN,0.0,0.0,1354.0,2758.0,3640.0,4682.0,5423.0,5835.0,6621.0,6122.0,8928.0,8085.0,53448.0,2022
INDIAN,0.0,487.0,0.0,1800.0,2739.0,4332.0,8013.0,7977.0,8103.0,5755.0,6641.0,5695.0,51542.0,2022
MALAYSIAN,0.0,1193.0,1142.0,2243.0,2693.0,3597.0,5051.0,5580.0,5902.0,5616.0,6781.0,7007.0,46805.0,2022
CHINESE,0.0,365.0,0.0,1834.0,2245.0,3170.0,4596.0,5015.0,5376.0,4658.0,6131.0,6237.0,39627.0,2022
GERMAN,0.0,291.0,2404.0,3066.0,2686.0,2548.0,3720.0,3893.0,3462.0,4454.0,5686.0,6803.0,39013.0,2022
VIETNAMESE,0.0,412.0,2889.0,3457.0,3046.0,3118.0,4499.0,4494.0,4401.0,4032.0,4332.0,3925.0,38605.0,2022
INDONESIAN,0.0,232.0,909.0,1403.0,1316.0,1597.0,2365.0,3827.0,3972.0,3022.0,3070.0,2883.0,24596.0,2022
FRENCH,0.0,0.0,1328.0,2035.0,1593.0,1314.0,2719.0,2462.0,1752.0,2880.0,3709.0,4157.0,23949.0,2022
TAIWANESE,0.0,0.0,0.0,898.0,831.0,1199.0,2264.0,2853.0,2332.0,3101.0,4030.0,6096.0,23604.0,2022
DUTCH,0.0,365.0,972.0,1388.0,1376.0,1262.0,2651.0,1765.0,1637.0,2092.0,2719.0,3079.0,19306.0,2022
SPANISH,0.0,870.0,672.0,1230.0,1061.0,1176.0,2280.0,2809.0,1632.0,1948.0,2824.0,2692.0,19194.0,2022
