Year,region,province_city,foreign,overseas,domestic,total,is_region_total
2015,NCR (National Capital Region),0,848152,168,568755,1417075,1
2015,NCR (National Capital Region),Caloocan City,0,0,0,0,0
2015,NCR (National Capital Region),Las Piñas City,0,0,0,0,0
2015,NCR (National Capital Region),Makati City,0,0,0,0,0
2015,NCR (National Capital Region),Malabon City,0,0,0,0,0
2015,NCR (National Capital Region),Mandaluyong City,0,0,0,0,0
2015,NCR (National Capital Region),Manila,0,0,0,0,0
2015,NCR (National Capital Region),Marikina City,0,0,0,0,0
2015,NCR (National Capital Region),Muntinlupa City,0,0,0,0,0
2015,NCR (National Capital Region),Navotas City,0,0,0,0,0
2015,NCR (National Capital Region),Parañaque City,0,0,0,0,0
2015,NCR (National Capital Region),Pasay City,0,0,0,0,0
2015,NCR (National Capital Region),Pasig City,0,0,0,0,0
2015,NCR (National Capital Region),Quezon City,0,0,0,0,0
2015,NCR (National Capital Region),San Juan City,0,0,0,0,0
2015,NCR (National Capital Region),Taguig City,0,0,0,0,0
2015,NCR (National Capital Region),Valenzuela City,0,0,0,0,0
2015,NCR (National Capital Region),Pateros,0,0,0,0,0
2015,CAR (Cordillera Administrative Region),0,88808,659,1402582,1492049,1
2015,CAR (Cordillera Administrative Region),Abra,689,154,20713,21402,0
2015,CAR (Cordillera Administrative Region),Apayao,58,94,5479,5691,0
2015,CAR (Cordillera Administrative Region),Benguet,3659,158,82785,86538,0
2015,CAR (Cordillera Administrative Region),Ifugao,29516,253,39302,68976,0
2015,CAR (Cordillera Administrative Region),Kalinga,15006,0,104788,119794,0
2015,CAR (Cordillera Administrative Region),Mountain Province,8721,0,65663,74384,0
2015,CAR (Cordillera Administrative Region),Baguio City,31159,0,1083852,1115264,0
2015,Region I  (ILOCOS REGION),0,68261,3013,1553531,1624805,1
2015,Region I  (ILOCOS REGION),Region/Province/City,0,0,0,0,0
2015,Region II  (CAGAYAN VALLEY),0,202180,1959,588250,792389,1
2015,Region II  (CAGAYAN VALLEY),Batanes,508,0,25382,25890,0
2015,Region II  (CAGAYAN VALLEY),Cagayan,195857,951,241891,438699,0
2015,Region II  (CAGAYAN VALLEY),Tuguegarao City,2885,381,134283,137549,0
2015,Region II  (CAGAYAN VALLEY),Others,192972,570,107608,0,0
2015,Region II  (CAGAYAN VALLEY),Isabela,5324,1008,183500,0,0
2015,Region II  (CAGAYAN VALLEY),Cauayan City,1310,751,75211,0,0
2015,Region II  (CAGAYAN VALLEY),Ilagan City,42,4,18874,0,0
2015,Region II  (CAGAYAN VALLEY),Santiago City,1455,28,69987,0,0
2015,Region II  (CAGAYAN VALLEY),Others,2517,225,19428,0,0
2015,Region II  (CAGAYAN VALLEY),Nueva Vizcaya,491,0,131682,0,0
2015,Region II  (CAGAYAN VALLEY),Quirino,0,0,5795,0,0
2015,Region III  (CENTRAL LUZON),0,782499,31027,2782571,3596097,1
2015,Region III  (CENTRAL LUZON),Aurora,255,0,154271,154526,0
2015,Region III  (CENTRAL LUZON),Bataan,23233,0,221070,244303,0
2015,Region III  (CENTRAL LUZON),Bulacan,701,0,80553,81254,0
2015,Region III  (CENTRAL LUZON),Nueva Ecija,18,31027,25969,25987,0
2015,Region III  (CENTRAL LUZON),Pampanga,489321,31027,512659,1001980,0
2015,Region III  (CENTRAL LUZON),Clark,489321,0,512659,1001980,0
2015,Region III  (CENTRAL LUZON),Tarlac City,952,0,46744,47696,0
2015,Region III  (CENTRAL LUZON),Zambales,37153,0,1395300,1463480,0
2015,Region III  (CENTRAL LUZON),SBMA,37153,0,1395300,1463480,0
2015,Region III  (CENTRAL LUZON),Angeles City,224481,0,188348,412829,0
2015,Region III  (CENTRAL LUZON),Olongapo City,6385,0,157657,164042,0
2015,Region III  (CENTRAL LUZON),Region IV-A  CALABARZON,426833,3004,3888788,4318625,1
2015,Region III  (CENTRAL LUZON),Region/Province/City,0,0,0,0,0
2015,Region III  (CENTRAL LUZON),Region/Province/City,0,0,0,0,0
2015,Region III  (CENTRAL LUZON),Region IV-B MIMAROPA,377926,4569,1040085,1422580,0
2015,Region III  (CENTRAL LUZON),Marinduque,6233,0,20408,20408,0
2015,Region III  (CENTRAL LUZON),Boac,6,0,20408,20408,0
