Year;Region_Code;Region_Name;Province;Location;Level_Original;Foreign_Travelers;OFW;Domestic_Travelers;Total;Level;Latitude;Longitude
2015;NCR;NCR (National Capital Region);;NCR (National Capital Region);Region;848152;168;568755;1417075;Region;14,5995;120,9842
2015;CAR;CAR (Cordillera Administrative Region);;CAR (Cordillera Administrative Region);Region;88808;659;1402582;1492049;Region;17,351;121,172
2015;CAR;CAR (Cordillera Administrative Region);Abra;Abra;Province;689;0;20713;21402;Province;17,351;121,172
2015;CAR;CAR (Cordillera Administrative Region);Apayao;Apayao;Province;58;154;5479;5691;Province;17,351;121,172
2015;CAR;CAR (Cordillera Administrative Region);Benguet;Benguet;Province;3659;94;82785;86538;Province;17,351;121,172
2015;CAR;CAR (Cordillera Administrative Region);Ifugao;Ifugao;Province;29516;158;39302;68976;Province;17,351;121,172
2015;CAR;CAR (Cordillera Administrative Region);Kalinga;Kalinga;Province;15006;0;104788;119794;Province;17,351;121,172
2015;CAR;CAR (Cordillera Administrative Region);Mountain Province;Mountain Province;Province;8721;0;65663;74384;Province;17,351;121,172
2015;CAR;CAR (Cordillera Administrative Region);Baguio City;Baguio City;Province;31159;253;1083852;1115264;Province;17,351;121,172
2015;Region I;Region I (ILOCOS REGION);;Region I (ILOCOS REGION);Region;68261;3013;1553531;1624805;Region;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);Ilocos Norte;Ilocos Norte;Province;35755;50;458129;493934;Province;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);Ilocos Norte;Laoag City;City/Municipality;12955;50;197875;210880;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);Ilocos Norte;Pagudpud;City/Municipality;21494;0;236925;258419;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);Ilocos Norte;San Nicolas;City/Municipality;1306;0;23329;24635;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);Ilocos Sur;Ilocos Sur;Province;12251;0;244162;256413;Province;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);Ilocos Sur;Candon City;City/Municipality;608;0;15316;15924;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);Ilocos Sur;Vigan City;City/Municipality;11643;0;228846;240489;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);La Union;La Union;Province;12705;2963;382311;397979;Province;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);La Union;Agoo;City/Municipality;0;0;42877;42877;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);La Union;Aringay;City/Municipality;0;0;3992;3992;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);La Union;Bacnotan;City/Municipality;0;0;2691;2691;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);La Union;Baloaon;City/Municipality;27;30;2864;2921;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);La Union;Bauang;City/Municipality;1874;0;19110;20984;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);La Union;Caba;City/Municipality;7;0;282;289;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);La Union;Naguilian;City/Municipality;67;0;119;186;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);La Union;Pugo;City/Municipality;853;0;3346;4199;City/Municipality;16,0832;120,62
2015;Region I;Region I (ILOCOS REGION);La Union;Rosario;City/Municipality;9;0;3891;3900;City/Municipality;16,0832;120,62
